data__time;data__result__001;data__result__002;data__result__003;data__result__004;data__result__005;data__result__006
0,314159265;0,017146751;0,010264628;0,034333279;1,06E-18;0,017146751;-0,010264628
0,628318531;0,01804423;0,010824808;0,036089121;1,19E-18;0,01804423;-0,010824808
0,942477796;0,017185997;0,010289863;0,034411588;9,25E-19;0,017185997;-0,010289863
1,256637061;0,018006562;0,010800641;0,036014074;8,45E-19;0,018006562;-0,010800641
1,570796327;0,017222147;0,010313005;0,034483505;7,93E-19;0,017222147;-0,010313005
1,884955592;0,017971872;0,010778481;0,035945162;9,06E-19;0,017971872;-0,010778481
2,199114858;0,017255433;0,010334224;0,034549534;7,61E-19;0,017255433;-0,010334224
2,513274123;0,017939937;0,010758164;0,035881899;9,27E-19;0,017939937;-0,010758164
2,827433388;0,017286068;0,010353675;0,034610141;8,64E-19;0,017286068;-0,010353675
3,141592654;0,017910552;0,010739542;0,03582384;9,39E-19;0,017910552;-0,010739542
3,455751919;0,017314253;0,010371503;0,034665756;9,15E-19;0,017314253;-0,010371503
3,769911184;0,017883523;0,010722477;0,035770571;9,52E-19;0,017883523;-0,010722477
4,08407045;0,017340171;0,010387837;0,034716774;9,49E-19;0,017340171;-0,010387837
4,398229715;0,017858672;0,010706843;0,035721713;1,02E-18;0,017858672;-0,010706843
4,71238898;0,017363995;0,0104028;0,034763559;9,28E-19;0,017363995;-0,0104028
5,026548246;0,017835835;0,010692524;0,035676916;9,05E-19;0,017835835;-0,010692524
5,340707511;0,017385884;0,010416502;0,034806449;9,04E-19;0,017385884;-0,010416502
5,654866776;0,017814857;0,010679413;0,035635855;9,31E-19;0,017814857;-0,010679413
5,969026042;0,017405986;0,010429046;0,034845755;9,03E-19;0,017405986;-0,010429046
6,283185307;0,017795597;0,010667413;0,035598234;9,90E-19;0,017795597;-0,010667413
6,597344573;0,017424438;0,010440526;0,034881761;9,61E-19;0,017424438;-0,010440526
6,911503838;0,017777922;0,010656432;0,035563776;9,44E-19;0,017777922;-0,010656432
7,225663103;0,017441366;0,010451028;0,034914733;9,73E-19;0,017441366;-0,010451028
7,539822369;0,01776171;0,010646388;0,03553223;9,72E-19;0,01776171;-0,010646388
7,853981634;0,01745689;0,010460633;0,034944912;9,76E-19;0,01745689;-0,010460633
8,168140899;0,017746847;0,010637204;0,035503361;9,92E-19;0,017746847;-0,010637204
8,482300165;0,017471118;0,010469413;0,034972525;9,57E-19;0,017471118;-0,010469413
8,79645943;0,017733229;0,01062881;0,035476954;9,73E-19;0,017733229;-0,01062881
9,110618695;0,01748415;0,010477436;0,034997776;9,88E-19;0,01748415;-0,010477436
9,424777961;0,017720758;0,010621142;0,03545281;9,99E-19;0,017720758;-0,010621142
9,738937226;0,017496082;0,010484764;0,035020858;1,00E-18;0,017496082;-0,010484764
10,05309649;0,017709345;0,01061414;0,035430747;9,93E-19;0,017709345;-0,01061414
10,36725576;0,017506998;0,010491454;0,035041944;1,00E-18;0,017506998;-0,010491454
10,68141502;0,017698906;0,010607749;0,035410596;9,97E-19;0,017698906;-0,010607749
10,99557429;0,017516979;0,010497558;0,035061198;9,98E-19;0,017516979;-0,010497558
11,30973355;0,017689364;0,01060192;0,035392202;1,01E-18;0,017689364;-0,01060192
11,62389282;0,0175261;0,010503125;0,035078769;9,92E-19;0,0175261;-0,010503125
11,93805208;0,017680647;0,010596605;0,035375421;9,85E-19;0,017680647;-0,010596605
12,25221135;0,017534429;0,010508198;0,035094793;9,70E-19;0,017534429;-0,010508198
12,56637061;0,01767269;0,010591762;0,035360122;9,75E-19;0,01767269;-0,010591762
12,88052988;0,017542029;0,01051282;0,035109397;9,72E-19;0,017542029;-0,01051282
13,19468915;0,017665433;0,010587353;0,035346183;9,74E-19;0,017665433;-0,010587353
13,50884841;0,017548958;0,010517026;0,035122698;9,76E-19;0,017548958;-0,010517026
13,82300768;0,017658818;0,010583341;0,035333493;9,75E-19;0,017658818;-0,010583341
14,13716694;0,017555272;0,010520853;0,035134804;9,78E-19;0,017555272;-0,010520853
14,45132621;0,017652793;0,010579692;0,035321948;9,80E-19;0,017652793;-0,010579692
14,76548547;0,017561019;0,010524331;0,035145813;9,83E-19;0,017561019;-0,010524331
15,07964474;0,017647312;0,010576378;0,035311453;9,79E-19;0,017647312;-0,010576378
15,393804;0,017566246;0,010527489;0,035155815;9,81E-19;0,017566246;-0,010527489
15,70796327;0,017642329;0,010573368;0,035301921;9,78E-19;0,017642329;-0,010573368
16,02212253;0,017570995;0,010530355;0,035164896;9,78E-19;0,017570995;-0,010530355
16,3362818;0,017637803;0,010570639;0,035293272;9,79E-19;0,017637803;-0,010570639
16,65044106;0,017575307;0,010532954;0,035173132;9,82E-19;0,017575307;-0,010532954
16,96460033;0,017633697;0,010568166;0,035285431;9,81E-19;0,017633697;-0,010568166
17,27875959;0,017579216;0,010535307;0,035180594;9,82E-19;0,017579216;-0,010535307
17,59291886;0,017629976;0,010565927;0,035278331;9,80E-19;0,017629976;-0,010565927
17,90707813;0,017582757;0,010537436;0,035187348;9,85E-19;0,017582757;-0,010537436
18,22123739;0,017626608;0,010563903;0,035271909;9,74E-19;0,017626608;-0,010563903
18,53539666;0,01758596;0,01053936;0,035193453;9,83E-19;0,01758596;-0,01053936
18,84955592;0,017623563;0,010562075;0,035266107;9,80E-19;0,017623563;-0,010562075
19,16371519;0,017588853;0,010541097;0,035198965;9,84E-19;0,017588853;-0,010541097
19,47787445;0,017620814;0,010560426;0,035260872;9,80E-19;0,017620814;-0,010560426
19,79203372;0,017591464;0,010542662;0,035203935;9,93E-19;0,017591464;-0,010542662
20,10619298;0,017618336;0,010558941;0,035256156;9,89E-19;0,017618336;-0,010558941
20,42035225;0,017593815;0,010544071;0,035208409;9,93E-19;0,017593815;-0,010544071
20,73451151;0,017616106;0,010557605;0,035251913;9,91E-19;0,017616106;-0,010557605
21,04867078;0,017595929;0,010545336;0,035212431;9,93E-19;0,017595929;-0,010545336
21,36283004;0,017614103;0,010556406;0,035248103;9,91E-19;0,017614103;-0,010556406
21,67698931;0,017597827;0,010546472;0,035216039;1,00E-18;0,017597827;-0,010546472
21,99114858;0,017612306;0,010555331;0,035244688;9,94E-19;0,017612306;-0,010555331
22,30530784;0,017599527;0,010547489;0,03521927;1,00E-18;0,017599527;-0,010547489
22,61946711;0,017610698;0,01055437;0,035241632;9,88E-19;0,017610698;-0,01055437
22,93362637;0,017601047;0,010548397;0,035222157;9,93E-19;0,017601047;-0,010548397
23,24778564;0,017609262;0,010553512;0,035238905;9,89E-19;0,017609262;-0,010553512
23,5619449;0,017602403;0,010549207;0,035224732;9,91E-19;0,017602403;-0,010549207
23,87610417;0,017607983;0,010552748;0,035236477;9,86E-19;0,017607983;-0,010552748
24,19026343;0,017603608;0,010549927;0,035227021;9,82E-19;0,017603608;-0,010549927
24,5044227;0,017606848;0,01055207;0,03523432;9,79E-19;0,017606848;-0,01055207
24,81858196;0,017604677;0,010550565;0,035229051;9,68E-19;0,017604677;-0,010550565
25,13274123;0,017605842;0,01055147;0,035232411;9,79E-19;0,017605842;-0,01055147
25,44690049;0,017605622;0,010551129;0,035230845;9,85E-19;0,017605622;-0,010551129
25,76105976;0,017604955;0,01055094;0,035230727;9,63E-19;0,017604955;-0,01055094
26,07521902;0,017606454;0,010551626;0,035232425;9,52E-19;0,017606454;-0,010551626
26,38937829;0,017604175;0,010550474;0,035229246;9,48E-19;0,017604175;-0,010550474
26,70353756;0,017607184;0,010552062;0,035233811;9,59E-19;0,017607184;-0,010552062
27,01769682;0,017603493;0,010550067;0,035227951;9,51E-19;0,017603493;-0,010550067
27,33185609;0,01760782;0,010552442;0,03523502;9,47E-19;0,01760782;-0,010552442
27,64601535;0,0176029;0,010549712;0,035226823;9,55E-19;0,0176029;-0,010549712
27,96017462;0,017608373;0,010552773;0,035236071;9,53E-19;0,017608373;-0,010552773
28,27433388;0,017602386;0,010549405;0,035225846;9,48E-19;0,017602386;-0,010549405
28,58849315;0,017608849;0,010553058;0,035236977;9,40E-19;0,017608849;-0,010553058
28,90265241;0,017601945;0,010549141;0,035225007;9,39E-19;0,017601945;-0,010549141
29,21681168;0,017609257;0,010553302;0,035237752;9,33E-19;0,017609257;-0,010553302
29,53097094;0,017601569;0,010548916;0,035224292;9,39E-19;0,017601569;-0,010548916
29,84513021;0,017609603;0,010553509;0,03523841;9,39E-19;0,017609603;-0,010553509
30,15928947;0,017601253;0,010548725;0,035223688;9,31E-19;0,017601253;-0,010548725
30,47344874;0,017609892;0,010553683;0,035238963;9,24E-19;0,017609892;-0,010553683
30,78760801;0,017600989;0,010548567;0,035223185;9,20E-19;0,017600989;-0,010548567
31,10176727;0,017610131;0,010553827;0,03523942;9,14E-19;0,017610131;-0,010553827
31,41592654;0,017600773;0,010548436;0,035222771;9,12E-19;0,017600773;-0,010548436
31,7300858;0,017610325;0,010553945;0,035239791;9,10E-19;0,017610325;-0,010553945
32,04424507;0,0176006;0,010548332;0,035222439;8,97E-19;0,0176006;-0,010548332
32,35840433;0,017610478;0,010554038;0,035240086;9,01E-19;0,017610478;-0,010554038
32,6725636;0,017600466;0,010548249;0,035222179;9,13E-19;0,017600466;-0,010548249
32,98672286;0,017610595;0,01055411;0,035240313;9,08E-19;0,017610595;-0,01055411
33,30088213;0,017600365;0,010548187;0,035221985;8,94E-19;0,017600365;-0,010548187
33,61504139;0,01761068;0,010554162;0,035240478;8,97E-19;0,01761068;-0,010554162
33,92920066;0,017600295;0,010548144;0,035221847;9,00E-19;0,017600295;-0,010548144
34,24335992;0,017610736;0,010554198;0,035240589;9,06E-19;0,017610736;-0,010554198
34,55751919;0,017600253;0,010548116;0,035221761;9,10E-19;0,017600253;-0,010548116
34,87167845;0,017610766;0,010554218;0,035240651;9,03E-19;0,017610766;-0,010554218
35,18583772;0,017600234;0,010548103;0,035221721;9,06E-19;0,017600234;-0,010548103
35,49999699;0,017610773;0,010554225;0,035240671;9,03E-19;0,017610773;-0,010554225
35,81415625;0,017600237;0,010548102;0,035221721;9,06E-19;0,017600237;-0,010548102
36,12831552;0,017610761;0,01055422;0,035240653;9,11E-19;0,017610761;-0,01055422
36,44247478;0,017600259;0,010548112;0,035221756;9,03E-19;0,017600259;-0,010548112
36,75663405;0,017610731;0,010554205;0,035240602;9,00E-19;0,017610731;-0,010554205
37,07079331;0,017600297;0,010548132;0,035221822;8,90E-19;0,017600297;-0,010548132
37,38495258;0,017610685;0,01055418;0,035240522;8,90E-19;0,017610685;-0,01055418
37,69911184;0,017600349;0,01054816;0,035221915;8,90E-19;0,017600349;-0,01054816
38,01327111;0,017610627;0,010554148;0,035240416;8,99E-19;0,017610627;-0,010554148
38,32743037;0,017600414;0,010548196;0,035222032;9,02E-19;0,017600414;-0,010548196
38,64158964;0,017610556;0,010554109;0,035240289;9,05E-19;0,017610556;-0,010554109
38,9557489;0,017600489;0,010548238;0,035222169;9,04E-19;0,017600489;-0,010548238
39,26990817;0,017610476;0,010554064;0,035240143;9,18E-19;0,017610476;-0,010554064
39,58406744;0,017600574;0,010548286;0,035222323;9,20E-19;0,017600574;-0,010548286
39,8982267;0,017610388;0,010554014;0,035239981;9,19E-19;0,017610388;-0,010554014
40,21238597;0,017600666;0,010548338;0,035222492;9,14E-19;0,017600666;-0,010548338
40,52654523;0,017610292;0,01055396;0,035239806;9,16E-19;0,017610292;-0,01055396
40,8407045;0,017600765;0,010548394;0,035222673;9,18E-19;0,017600765;-0,010548394
41,15486376;0,01761019;0,010553902;0,03523962;9,23E-19;0,01761019;-0,010553902
41,46902303;0,017600869;0,010548454;0,035222864;9,28E-19;0,017600869;-0,010548454
41,78318229;0,017610084;0,010553841;0,035239424;9,32E-19;0,017610084;-0,010553841
42,09734156;0,017600978;0,010548516;0,035223064;9,27E-19;0,017600978;-0,010548516
42,41150082;0,017609973;0,010553778;0,035239221;9,22E-19;0,017609973;-0,010553778
42,72566009;0,017601089;0,010548579;0,03522327;9,24E-19;0,017601089;-0,010548579
43,03981935;0,01760986;0,010553714;0,035239013;9,27E-19;0,01760986;-0,010553714
43,35397862;0,017601204;0,010548645;0,035223481;9,29E-19;0,017601204;-0,010548645
43,66813788;0,017609745;0,010553648;0,0352388;9,24E-19;0,017609745;-0,010553648
43,98229715;0,01760132;0,010548712;0,035223695;9,23E-19;0,01760132;-0,010548712
44,29645642;0,017609628;0,010553581;0,035238584;9,21E-19;0,017609628;-0,010553581
44,61061568;0,017601438;0,010548779;0,035223912;9,23E-19;0,017601438;-0,010548779
44,92477495;0,01760951;0,010553513;0,035238366;9,24E-19;0,01760951;-0,010553513
45,23893421;0,017601556;0,010548847;0,03522413;9,23E-19;0,017601556;-0,010548847
45,55309348;0,017609391;0,010553445;0,035238148;9,25E-19;0,017609391;-0,010553445
45,86725274;0,017601674;0,010548915;0,035224349;9,26E-19;0,017601674;-0,010548915
46,18141201;0,017609273;0,010553377;0,035237929;9,21E-19;0,017609273;-0,010553377
46,49557127;0,017601792;0,010548982;0,035224567;9,19E-19;0,017601792;-0,010548982
46,80973054;0,017609155;0,01055331;0,035237712;9,22E-19;0,017609155;-0,01055331
47,1238898;0,01760191;0,01054905;0,035224784;9,22E-19;0,01760191;-0,01054905
47,43804907;0,017609038;0,010553242;0,035237496;9,22E-19;0,017609038;-0,010553242
47,75220833;0,017602026;0,010549117;0,035224999;9,21E-19;0,017602026;-0,010549117
48,0663676;0,017608923;0,010553176;0,035237282;9,18E-19;0,017608923;-0,010553176
48,38052687;0,017602141;0,010549183;0,035225211;9,18E-19;0,017602141;-0,010549183
48,69468613;0,017608809;0,01055311;0,035237071;9,15E-19;0,017608809;-0,01055311
49,0088454;0,017602254;0,010549248;0,03522542;9,15E-19;0,017602254;-0,010549248
49,32300466;0,017608696;0,010553046;0,035236863;9,12E-19;0,017608696;-0,010553046
49,63716393;0,017602366;0,010549312;0,035225627;9,12E-19;0,017602366;-0,010549312
49,95132319;0,017608586;0,010552982;0,035236659;9,21E-19;0,017608586;-0,010552982
50,26548246;0,017602475;0,010549375;0,035225829;9,24E-19;0,017602475;-0,010549375
50,57964172;0,017608478;0,01055292;0,035236458;9,20E-19;0,017608478;-0,01055292
50,89380099;0,017602582;0,010549436;0,035226027;9,24E-19;0,017602582;-0,010549436
51,20796025;0,017608372;0,010552859;0,035236262;9,21E-19;0,017608372;-0,010552859
51,52211952;0,017602687;0,010549497;0,035226221;9,18E-19;0,017602687;-0,010549497
51,83627878;0,017608268;0,010552799;0,03523607;9,15E-19;0,017608268;-0,010552799
52,15043805;0,01760279;0,010549556;0,035226411;9,15E-19;0,01760279;-0,010549556
52,46459731;0,017608167;0,010552741;0,035235883;9,12E-19;0,017608167;-0,010552741
52,77875658;0,017602889;0,010549613;0,035226596;9,09E-19;0,017602889;-0,010549613
53,09291585;0,017608068;0,010552684;0,035235701;9,05E-19;0,017608068;-0,010552684
53,40707511;0,017602987;0,010549669;0,035226776;9,03E-19;0,017602987;-0,010549669
53,72123438;0,017607972;0,010552629;0,035235523;9,08E-19;0,017607972;-0,010552629
54,03539364;0,017603082;0,010549724;0,035226951;9,14E-19;0,017603082;-0,010549724
54,34955291;0,017607879;0,010552575;0,03523535;9,13E-19;0,017607879;-0,010552575
54,66371217;0,017603174;0,010549777;0,035227122;9,08E-19;0,017603174;-0,010549777
54,97787144;0,017607788;0,010552523;0,035235182;9,03E-19;0,017607788;-0,010552523
55,2920307;0,017603263;0,010549828;0,035227287;9,00E-19;0,017603263;-0,010549828
55,60618997;0,0176077;0,010552472;0,035235019;8,98E-19;0,0176077;-0,010552472
55,92034923;0,01760335;0,010549878;0,035227448;9,00E-19;0,01760335;-0,010549878
56,2345085;0,017607614;0,010552423;0,035234861;8,95E-19;0,017607614;-0,010552423
56,54866776;0,017603434;0,010549927;0,035227603;8,92E-19;0,017603434;-0,010549927
56,86282703;0,017607532;0,010552375;0,035234708;8,87E-19;0,017607532;-0,010552375
57,1769863;0,017603515;0,010549974;0,035227754;8,83E-19;0,017603515;-0,010549974
57,49114556;0,017607452;0,010552329;0,03523456;8,88E-19;0,017607452;-0,010552329
57,80530483;0,017603594;0,010550019;0,035227899;8,86E-19;0,017603594;-0,010550019
58,11946409;0,017607374;0,010552284;0,035234417;8,84E-19;0,017607374;-0,010552284
58,43362336;0,01760367;0,010550063;0,03522804;8,86E-19;0,01760367;-0,010550063
58,74778262;0,0176073;0,010552241;0,035234279;8,93E-19;0,0176073;-0,010552241
59,06194189;0,017603743;0,010550105;0,035228176;8,86E-19;0,017603743;-0,010550105
59,37610115;0,017607227;0,0105522;0,035234145;8,89E-19;0,017607227;-0,0105522
59,69026042;0,017603814;0,010550146;0,035228307;8,91E-19;0,017603814;-0,010550146
60,00441968;0,017607158;0,01055216;0,035234016;8,86E-19;0,017607158;-0,01055216
60,31857895;0,017603883;0,010550186;0,035228434;8,88E-19;0,017603883;-0,010550186
60,63273821;0,017607091;0,010552121;0,035233892;8,89E-19;0,017607091;-0,010552121
60,94689748;0,017603949;0,010550224;0,035228556;8,88E-19;0,017603949;-0,010550224
61,26105675;0,017607026;0,010552084;0,035233772;8,89E-19;0,017607026;-0,010552084
61,57521601;0,017604012;0,01055026;0,035228673;8,88E-19;0,017604012;-0,01055026
61,88937528;0,017606963;0,010552048;0,035233657;8,89E-19;0,017606963;-0,010552048
62,20353454;0,017604073;0,010550295;0,035228787;8,88E-19;0,017604073;-0,010550295
62,51769381;0,017606903;0,010552013;0,035233545;8,83E-19;0,017606903;-0,010552013
62,83185307;0,017604132;0,010550329;0,035228896;8,86E-19;0,017604132;-0,010550329
63,14601234;0,017606846;0,01055198;0,035233439;8,87E-19;0,017606846;-0,01055198
63,4601716;0,017604189;0,010550362;0,035229;8,86E-19;0,017604189;-0,010550362
63,77433087;0,01760679;0,010551948;0,035233336;8,87E-19;0,01760679;-0,010551948
64,08849013;0,017604243;0,010550393;0,035229101;8,88E-19;0,017604243;-0,010550393
64,4026494;0,017606737;0,010551917;0,035233237;8,87E-19;0,017606737;-0,010551917
64,71680866;0,017604296;0,010550424;0,035229198;8,89E-19;0,017604296;-0,010550424
65,03096793;0,017606685;0,010551887;0,035233142;8,84E-19;0,017606685;-0,010551887
65,34512719;0,017604346;0,010550453;0,035229291;8,77E-19;0,017604346;-0,010550453
65,65928646;0,017606636;0,010551859;0,035233051;8,72E-19;0,017606636;-0,010551859
65,97344573;0,017604394;0,01055048;0,03522938;8,70E-19;0,017604394;-0,01055048
66,28760499;0,017606589;0,010551832;0,035232963;8,69E-19;0,017606589;-0,010551832
66,60176426;0,017604441;0,010550507;0,035229466;8,70E-19;0,017604441;-0,010550507
66,91592352;0,017606543;0,010551805;0,035232879;8,72E-19;0,017606543;-0,010551805
67,23008279;0,017604485;0,010550533;0,035229548;8,67E-19;0,017604485;-0,010550533
67,54424205;0,0176065;0,01055178;0,035232799;8,65E-19;0,0176065;-0,01055178
67,85840132;0,017604528;0,010550558;0,035229627;8,61E-19;0,017604528;-0,010550558
68,17256058;0,017606458;0,010551756;0,035232721;8,56E-19;0,017606458;-0,010551756
68,48671985;0,017604569;0,010550581;0,035229703;8,55E-19;0,017604569;-0,010550581
68,80087911;0,017606418;0,010551733;0,035232647;8,56E-19;0,017606418;-0,010551733
69,11503838;0,017604608;0,010550604;0,035229776;8,61E-19;0,017604608;-0,010550604
69,42919764;0,017606379;0,010551711;0,035232576;8,66E-19;0,017606379;-0,010551711
69,74335691;0,017604646;0,010550625;0,035229845;8,64E-19;0,017604646;-0,010550625
70,05751618;0,017606342;0,01055169;0,035232508;8,65E-19;0,017606342;-0,01055169
70,37167544;0,017604682;0,010550646;0,035229912;8,67E-19;0,017604682;-0,010550646
70,68583471;0,017606307;0,010551669;0,035232443;8,68E-19;0,017606307;-0,010551669
70,99999397;0,017604716;0,010550666;0,035229975;8,66E-19;0,017604716;-0,010550666
71,31415324;0,017606273;0,01055165;0,035232381;8,67E-19;0,017606273;-0,01055165
71,6283125;0,017604749;0,010550685;0,035230037;8,66E-19;0,017604749;-0,010550685
71,94247177;0,017606241;0,010551631;0,035232321;8,67E-19;0,017606241;-0,010551631
72,25663103;0,017604781;0,010550703;0,035230095;8,66E-19;0,017604781;-0,010550703
72,5707903;0,01760621;0,010551613;0,035232264;8,71E-19;0,01760621;-0,010551613
72,88494956;0,017604811;0,010550721;0,035230151;8,69E-19;0,017604811;-0,010550721
73,19910883;0,01760618;0,010551596;0,035232209;8,71E-19;0,01760618;-0,010551596
73,51326809;0,01760484;0,010550738;0,035230204;8,69E-19;0,01760484;-0,010550738
73,82742736;0,017606152;0,01055158;0,035232157;8,71E-19;0,017606152;-0,01055158
74,14158662;0,017604868;0,010550754;0,035230255;8,76E-19;0,017604868;-0,010550754
74,45574589;0,017606125;0,010551564;0,035232107;8,79E-19;0,017606125;-0,010551564
74,76990516;0,017604895;0,010550769;0,035230304;8,77E-19;0,017604895;-0,010550769
75,08406442;0,017606099;0,010551549;0,035232059;8,79E-19;0,017606099;-0,010551549
75,39822369;0,01760492;0,010550784;0,035230351;8,76E-19;0,01760492;-0,010550784
75,71238295;0,017606074;0,010551535;0,035232013;8,72E-19;0,017606074;-0,010551535
76,02654222;0,017604944;0,010550797;0,035230396;8,76E-19;0,017604944;-0,010550797
76,34070148;0,017606051;0,010551521;0,03523197;8,79E-19;0,017606051;-0,010551521
76,65486075;0,017604967;0,010550811;0,035230439;8,83E-19;0,017604967;-0,010550811
76,96902001;0,017606028;0,010551508;0,035231928;8,88E-19;0,017606028;-0,010551508
77,28317928;0,01760499;0,010550824;0,035230479;8,89E-19;0,01760499;-0,010550824
77,59733854;0,017606006;0,010551496;0,035231888;8,90E-19;0,017606006;-0,010551496
77,91149781;0,017605011;0,010550836;0,035230518;8,85E-19;0,017605011;-0,010550836
